objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"BANG! The Dice Game","143741","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","132170022","6.71926","6.87635","1.2789","875","43007","thing","BANG! The Dice Game","3","8","15","15","15","2013","5,6,7,8","6,7","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Batman: Everybody Lies","355276","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","126580178","5.62092","6.48366","1.7778","8447","1559","thing","Batman: Everybody Lies","2","4","180","180","120","2022","1,2,3,4","2","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle of the Sexes","10462","3","0","2","0","0","0","0","0","1","0","0","1","","","","","","3493815","5.46576","3.55488","1.1667","29634","96","thing","Battle of the Sexes","4","16","60","60","60","1986","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Sheep","54137","5","0","0","0","0","0","0","0","1","0","0","1","","Sold to James for $10","","","","59520740","6.24726","6.59715","1.4555","2034","7227","thing","Battle Sheep","2","4","15","15","15","2010","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BattleLore: Second Edition","146439","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","140251794","7.0445","7.66867","2.7307","453","10397","thing","BattleLore: Second Edition","2","2","90","90","45","2013","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game","37111","10","5","0","1","0","0","0","0","0","0","0","1","","","","","","48213395","7.52649","7.73109","3.2513","126","40957","thing","Battlestar Galactica: The Board Game","3","6","180","180","120","2008","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game – Daybreak Expansion","141648","0","0","0","0","0","1","0","0","0","0","0","4","","","","","","56919609","6.7767","8.26711","3.64","0","7053","thing","Battlestar Galactica: The Board Game – Daybreak Expansion","3","7","180","180","120","2013","4,5,6,7","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game – Daybreak Expansion","141648","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","56919611","6.7767","8.26711","3.64","0","7053","thing","Battlestar Galactica: The Board Game – Daybreak Expansion","3","7","180","180","120","2013","4,5,6,7","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game – Daybreak Expansion","141648","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","56919612","6.7767","8.26711","3.64","0","7053","thing","Battlestar Galactica: The Board Game – Daybreak Expansion","3","7","180","180","120","2013","4,5,6,7","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game – Exodus Expansion","85905","0","0","0","0","0","1","0","0","0","0","1","3","","","","","","56919630","7.07735","8.11799","3.5556","0","9880","thing","Battlestar Galactica: The Board Game – Exodus Expansion","3","6","180","180","120","2010","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game – Pegasus Expansion","43539","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56643200","7.15483","7.88029","3.3131","0","14063","thing","Battlestar Galactica: The Board Game – Pegasus Expansion","3","7","180","180","120","2009","4,5,6,7","5,6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","6","2","0","0","0","0","0","0","1","0","0","3","","","","","","20427786","6.78687","7.00835","2.3986","768","86451","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill: 3rd Edition","358504","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","131945153","6.51683","7.29409","2.3761","1279","12528","thing","Betrayal at House on the Hill: 3rd Edition","3","6","60","60","60","2022","4,5,6","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Beyond Baker Street","168681","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","126894805","6.14346","6.80031","2.1667","2451","4199","thing","Beyond Baker Street","2","4","30","30","30","2016","2,3,4","2,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Biblios","34219","3","0","0","0","0","0","0","0","1","0","0","1","","Gifted @ Google Secret Santa","","","","42573566","6.98753","7.19428","1.6917","517","22511","thing","Biblios","2","4","30","30","30","2007","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Black Orchestra","156858","0","0","0","0","0","0","0","0","0","0","1","5","Horrify is better","","","","","70445628","6.96935","7.49143","2.4186","534","12515","thing","Black Orchestra","1","5","90","90","90","2016","1,2,3,4,5","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Blackbrim: 1876","335953","8","3","0","0","0","0","0","0","1","0","0","3","","Traded for [gameid=282673]
","","","","109827583","5.54043","7.39917","2.5","14559","159","thing","Blackbrim: 1876","1","6","240","240","120","2020","1,6","6","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Blood on the Clocktower","240980","7","1","0","0","0","0","0","0","0","0","0","3","","Played Dice Tower West 2026","","","","144049961","7.71469","8.35122","3.0365","68","11183","thing","Blood on the Clocktower","6","21","120","120","30","2022","7,8,9,10,11,12,13,14,15,16","9,10,11,12","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Body of Evidence: Best Served Cold","400510","5","1","0","0","0","0","0","0","1","0","0","3","","","","","","129919976","0","7.09524","2.5","0","98","thing","Body of Evidence: Best Served Cold","1","4","180","180","120","2023","1,2,3","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Boggle","1293","4","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493900","6.03795","6.25379","1.4568","2970","16496","thing","Boggle","1","8","10","10","10","1972","2,3,4,5,6,7","3,4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Boogeyman: The Board Game","324342","0","0","0","1","0","0","0","0","0","0","0","3","","Little Shop of Magic Mystery Bag Dice Tower West 2026","","","","143481690","5.56095","6.35612","2","12099","849","thing","Boogeyman: The Board Game","1","6","60","60","60","2022","3,4,5,6","4","8–14","","","","","","","standalone","","","","","","","","","","","","","","",""
"Boss Monster: Collector Box","194669","4","1","0","0","0","0","0","0","1","0","0","3","","Sold to Noble Knight for Store Credit","","","","126474022","5.71471","6.99647","1.4","0","2879","thing","Boss Monster: Collector Box","2","4","20","0","20","2015","2,3,4","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Box One","323255","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","137046112","6.29024","7.67618","2","1899","3141","thing","Box One","1","1","240","240","180","2020","1","1","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Bullet♥︎","307305","0","0","0","0","0","0","0","0","0","0","1","5","","","","","","138517534","6.85918","7.60644","2.1565","672","8004","thing","Bullet♥︎","1","4","20","20","10","2021","1,2,3,4","1","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bureau of Investigation: Investigations in Arkham & Elsewhere","353905","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129720999","5.88928","7.20883","2.5652","3947","3260","thing","Bureau of Investigation: Investigations in Arkham & Elsewhere","1","8","240","240","120","2022","1,2,3,4","1","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Burgle Bros.","172081","6","4","0","0","0","0","0","0","0","0","0","2","","","","","","137959925","7.07339","7.40282","2.3144","416","19604","thing","Burgle Bros.","1","4","90","90","45","2015","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Burn Rate","3341","6","0","2","1","0","0","0","0","0","0","0","1","","","","","","3493771","5.61327","6.09413","1.5763","8756","998","thing","Burn Rate","2","4","45","45","45","2002","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Call to Adventure","238992","7","2","0","1","0","0","0","0","0","0","0","4","","","","","","75670061","6.59358","7.04977","2.0059","1112","14226","thing","Call to Adventure","1","4","60","60","30","2019","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up","153938","5","0","0","1","0","0","0","0","1","0","0","1","","","","","","47622966","6.87645","7.03058","1.5015","643","37829","thing","Camel Up","2","8","30","30","20","2014","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Camel Up (Second Edition)","260605","5","0","0","0","0","0","0","0","0","0","0","3","","","","","","89218363","7.24864","7.53891","1.5116","267","30757","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Can't Stop","41","6.5","2","0","0","0","0","0","0","0","0","0","3","","","","","","130386898","6.78941","6.94566","1.1432","764","22616","thing","Can't Stop","2","4","30","30","30","1980","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cantaloop: Book 1 – Breaking into Prison","325555","7","0","0","1","0","0","0","0","0","0","0","3","","Bought from Zulu Bazaar","","","","137045688","6.24131","7.36996","2.0698","2068","3339","thing","Cantaloop: Book 1 – Breaking into Prison","1","2","720","720","300","2020","1,2","1","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"The Captain Is Dead","159503","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","94789983","6.3946","7.05017","2.398","1596","7214","thing","The Captain Is Dead","2","7","90","90","60","2014","3,4,5,6,7","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Captain Is Dead: Lockdown","208804","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129515245","5.60691","6.56038","2.8333","9055","1175","thing","The Captain Is Dead: Lockdown","1","7","120","120","90","2017","1,2,3,4,5,6,7","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Captain Sonar","171131","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","143518904","7.28616","7.49843","2.2055","245","33924","thing","Captain Sonar","2","8","60","60","45","2016","6,7,8","8","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","5","0","1","0","0","0","0","0","1","0","0","1","","Traded for Puerto Rico with Android Chris","","","","4860035","7.29886","7.41633","1.885","238","223129","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: The Castle","7717","5","0","2","0","0","0","0","0","1","0","0","1","","Sold for $10","","","","3493781","6.73252","7.10428","1.9852","853","13536","thing","Carcassonne: The Castle","2","2","45","45","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartographers","263918","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","134646538","7.39053","7.5544","1.8891","182","62387","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Cascadia","295947","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125919439","7.73574","7.8902","1.8424","60","92436","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic","43443","7","0","0","1","0","0","0","0","1","0","0","3","","","","","","48387136","6.46377","6.6536","1.66","1406","30948","thing","Castle Panic","1","6","60","60","30","2009","1,2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","8","7","0","1","0","0","0","0","0","0","0","3","","","","","","47622873","8.0313","8.16057","2.9708","15","84095","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
