objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Arkham Horror: The Card Game – The Path to Carcosa: Investigator Expansion","358213","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","129224214","6.10414","8.80591","3.8333","0","5261","thing","Arkham Horror: The Card Game – The Path to Carcosa: Investigator Expansion","1","4","0","0","0","2022","1,2,3,4","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Undimensioned and Unseen: Mythos Pack","219054","0","0","0","1","0","0","0","0","0","0","0","1","","Cycle: The Dunwich Legacy #6","","","","78752288","6.33368","7.90668","3.6923","0","10996","thing","Arkham Horror: The Card Game – Undimensioned and Unseen: Mythos Pack","1","4","120","120","60","2017","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Where Doom Awaits: Mythos Pack","221725","0","0","0","1","0","0","0","0","0","0","0","1","","Cycle: The Dunwich Legacy #7","","","","78752292","6.35915","8.08081","3.6","0","10668","thing","Arkham Horror: The Card Game – Where Doom Awaits: Mythos Pack","1","2","120","120","60","2017","1,2","","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – Winifred Habbamock: Investigator Starter Deck","305513","0","0","0","1","0","0","0","0","0","0","0","3","","Investigator","","","","134656458","6.09922","8.46975","3.5","0","7387","thing","Arkham Horror: The Card Game – Winifred Habbamock: Investigator Starter Deck","1","2","120","120","60","2020","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arydia: The Paths We Dare Tread","219650","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132525606","7.08308","9.00991","3.3028","405","5421","thing","Arydia: The Paths We Dare Tread","1","4","240","240","60","2025","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Atlantis Rising (Second Edition)","248490","0","0","0","0","0","1","0","0","0","0","1","3","","","","","","68465259","6.85407","7.47966","2.4643","682","9940","thing","Atlantis Rising (Second Edition)","1","7","120","120","60","2019","1,2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Awkward Guests: The Walton Case","188866","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","70523453","7.09019","7.53303","2.3165","398","17128","thing","Awkward Guests: The Walton Case","1","8","75","75","45","2016","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Awkward Storyteller","268588","0","0","0","1","0","0","0","0","1","0","0","3","","","","","","77778629","5.49448","5.21707","1","27003","229","thing","The Awkward Storyteller","4","11","0","0","0","2017","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul","230802","6.5","5","0","1","0","0","0","0","0","0","0","1","","","","","","68466989","7.60591","7.71542","1.7745","98","183142","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Backstories: The Emerald Wedding Anniversary","425610","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","142982515","5.58901","7.4428","1","9988","400","thing","Backstories: The Emerald Wedding Anniversary","1","6","60","60","60","2024","1,2,3,4","1","14+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Balloon Cup","5716","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","3493921","6.34193","6.67865","1.46","1724","6576","thing","Balloon Cup","2","2","30","30","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
